Source_id,Gaus_id_S,RA_S,E_RA_S,DEC_S,E_DEC_S,Peak_flux_S,E_Peak_flux_S,Total_flux_S,E_Total_flux_S,DC_Maj_S,E_DC_Maj_S,DC_Min_S,E_DC_Min_S,DC_PA_S,E_DC_PA_S,Gaus_id_C,RA_C,E_RA_C,DEC_C,E_DEC_C,Peak_flux_C,E_Peak_flux_C,Total_flux_C,E_Total_flux_C,DC_Maj_C,E_DC_Maj_C,DC_Min_C,E_DC_Min_C,DC_PA_C,E_DC_PA_C,Gaus_id_X,RA_X,E_RA_X,DEC_X,E_DEC_X,Peak_flux_X,E_Peak_flux_X,Total_flux_X,E_Total_flux_X,DC_Maj_X,E_DC_Maj_X,DC_Min_X,E_DC_Min_X,DC_PA_X,E_DC_PA_X,Number of bands,S-band,C-band,X-band,Spectral_index,E_Spectral_index,Upper_limit_spectral_index,Lower_limit_spectral_index,Compactness_S,E_Compactness_S,Compactness_C,E_Compactness_C,Compactness_X,E_Compactness_X,Source_id
38,41,24.14448277,0.00000484113935,15.80194062,0.00000545315532,0.0005219935181,0.00002341524985,0.0005016941998,0.00003152035174,0,0.00001319824716,0,0.00001098466895,0,13.12707739,11,24.14446909,0.00000687374125,15.80194458,0.00000640998341,0.0004252627281,0.00002306446315,0.000441753835,0.00002928136961,0.0001165857357,0.00001646848803,0.00003520794199,0.00001478610301,83.09624759,26.86931693,30,24.14447557,0.00000621404652,15.80193748,0.00000669197193,0.0002122444841,0.00001574193376,0.0002450550664,0.00001978524469,0.0002128154072,0.00001587333305,0.0001242525576,0.00001450819446,122.1421789,28.16615579,3,1,1,1,-0.5347528729,0.2668769358,,,0.9611119341,0.07419583193,1.038778632,0.0889666319,1.154588622,0.126582299,38
39,42,24.13485264,0.00000628409947,15.8615775,0.00000682427936,0.0006212230993,0.00003106362462,0.0007197684015,0.00004171730747,0.0002106082365,0.0000160711266,0.0001251585003,0.00001479664594,21.90296578,31.80292788,12,24.13477646,0.00003919465055,15.86155813,0.00001922820529,0.0004107796605,0.00007913859827,0.0004661472091,0.0001065217534,0,0.00009233836793,0,0.00004519334059,0,18.16321166,31,24.13482992,0.00001704463889,15.86155302,0.00003271376501,0.0002125161888,0.0000291857936,0.0002517489963,0.00004424221676,0,0.00007775535897,0,0.00003872314805,0,14.98668943,3,1,1,1,-0.8349136718,0.1125519488,,,1.158631098,0.08869155407,1.13478649,0.339175947,1.184610912,0.2642109566,39
40,43,24.13569473,0.00002348059006,15.86211369,0.0000222069992,0.0002328620695,0.00002952282558,0.000404054919,0.00003802280963,0.0004597050099,0.00006125978812,0.0002772628132,0.00004515658312,49.26614698,23.46980587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.9360061728,0.07815613592,1,0,1.735168462,0.2739653528,,,,,40
41,44,24.13435121,0.00002102002134,15.86109399,0.00002408816154,0.000192152848,0.00002890978385,0.0002427665666,0.00003909062538,0.0002852853604,0.00005781428924,0.0001418976244,0.00004821957897,26.56279197,47.81800469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.519843263,0.1337343634,1,0,1.263403427,0.2784184531,,,,,41
42,45,24.12945102,0.00003130009423,15.77323292,0.00005333840217,0.00008954216612,0.00002199323579,0.0001152128106,0.00002994647018,0,0.0001350315522,0,0.0000545436825,0,18.39157654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.9110322935,0.2158758896,1,0,1.286687776,0.460139032,,,,,42
43,46,24.124174,0.00001065522894,15.62903162,0.00001106210421,0.001104757723,0.00007658422897,0.001610030659,0.0001017610225,0.0003149861455,0.00002721285293,0.0002739198638,0.00002382415393,151.7866956,27.93497366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.457360855,0.1367153845,,,,,43
44,47,24.12119959,0.00003169378513,15.8060271,0.00003957844144,0.00009863405256,0.00002340418051,0.00011904406,0.00003198593687,0.0002925787386,0.0000991645239,0.00004878590609,0.00006650389579,156.8279444,36.54502886,,,,,,,,,,,,,,,,32,24.12113181,0.00002277102816,15.80602437,0.000037475241,0.00007571145098,0.00001070680389,0.0001233515247,0.00001603312235,0.0004875176828,0.00009036608149,0.0002213350405,0.00004996866576,15.36539895,17.17206456,2,1,0,1,0.02952106454,0.2478967949,,,1.206926583,0.4326414648,,,1.62923208,0.3129357084,44
45,48,24.1054021,0.00002246301309,15.77857871,0.00001815108396,0.0001857436607,0.00002480999207,0.0002277858269,0.00003377866799,0.000311768501,0.00005743991597,0.00003897242955,0.00003640882997,117.9850438,18.08149743,13,24.1053939,0.00002936213839,15.77853196,0.00000719813865,0.0002402045737,0.00003970718074,0.0001293238983,0.00006484959343,0,0.00006961172996,0,0.00001490660654,0,7.12779301,34,24.10540783,0.00002434764632,15.77847953,0.00003122484353,0.00008670339814,0.00001261747783,0.0001212266237,0.00001877736044,0.0003474957827,0.00007476557832,0.0002094027839,0.00005571203055,153.3236966,33.75404342,3,1,1,1,-0.5285609166,0.06543218102,,,1.226345093,0.2447521016,0.5383906573,0.2842677368,1.398176153,0.2971569282,45
46,49,24.10323226,0.00002349104763,15.82080867,0.00002384843723,0.000187937373,0.00002730220797,0.0002769883414,0.00003595707997,0.0003412399354,0.00005872059239,0.0002521823189,0.00005258985163,41.39885053,72.41570784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-1.039563815,0.1078157476,1,0,1.473833208,0.2871366001,,,,,46
47,50,24.10099041,0.00000487874802,15.70404402,0.00000481661838,0.0009011947439,0.00003773184955,0.0009056052345,0.00005023744512,0.00008184904219,0.00001226431104,0,0.0000104986215,133.5135481,14.04655187,,,,,,,,,,,,,,,,35,24.10096678,0.0000058093644,15.7039799,0.00000719990055,0.001178897947,0.00008679829922,0.001462249354,0.00011359847,0.0002531459362,0.00001714075091,0.0001855796546,0.00001344586691,14.73451361,10.32093677,2,1,0,1,0.3979335422,0.0792834873,,,1.004894048,0.06984078876,,,1.240352787,0.1327596325,47
